Technology,Gen Type,Technology Sub,Year,Levelized cost of energy,Fuel
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2009,0.974,Wind
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2009,0.941,Wind
Photovoltaic,Photovoltaic,Residential,2007,0.608,Wind
Photovoltaic,Photovoltaic,Residential,2006,0.601,Wind
Photovoltaic,Photovoltaic,Residential,2005,0.598,Wind
Photovoltaic,Photovoltaic,Residential,2008,0.596,Wind
Photovoltaic,Photovoltaic,,2007,0.59,Wind
Photovoltaic,Photovoltaic,Residential,2008,0.585,Wind
Photovoltaic,Photovoltaic,,2007,0.583,Wind
Photovoltaic,Photovoltaic,,2005,0.573,Wind
Photovoltaic,Photovoltaic,,2006,0.566,Wind
Photovoltaic,Photovoltaic,,2008,0.563,Wind
Photovoltaic,Photovoltaic,Residential,2009,0.56,Wind
Photovoltaic,Photovoltaic,Commercial,2005,0.546,Wind
Photovoltaic,Photovoltaic,,2009,0.542,Wind
Photovoltaic,Photovoltaic,Commercial,2006,0.539,Wind
Photovoltaic,Photovoltaic,Commercial,2009,0.525,Wind
Photovoltaic,Photovoltaic,Commercial,2008,0.521,Wind
Photovoltaic,Photovoltaic,Commercial,2007,0.518,Wind
Photovoltaic,Photovoltaic,Residential,2011,0.512,Wind
Photovoltaic,Photovoltaic,Commercial,2008,0.497,Wind
Photovoltaic,Photovoltaic,,2007,0.495,Wind
Photovoltaic,Photovoltaic,Commercial,2011,0.492,Wind
Distributed Generation,Distributed Generation,,2009,0.48,Wind
Photovoltaic,Photovoltaic,Residential,2010,0.478,Wind
Photovoltaic,Photovoltaic,,2008,0.473,Wind
Photovoltaic,Photovoltaic,,2010,0.454,Wind
Photovoltaic,Photovoltaic,Residential,2011,0.427,Wind
Photovoltaic,Photovoltaic,,2009,0.407,Wind
Photovoltaic,Photovoltaic,Commercial,2010,0.402,Wind
Photovoltaic,Photovoltaic,Utility,2008,0.397,Wind
Photovoltaic,Photovoltaic,Residential,2008,0.397,Wind
Photovoltaic,Photovoltaic,,2011,0.396,Wind
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2009,0.396,Wind
Photovoltaic,Photovoltaic,Commercial,2012,0.395,Wind
Photovoltaic,Photovoltaic,Residential,2010,0.385,Wind
Photovoltaic,Photovoltaic,Residential,2011,0.381,Wind
Photovoltaic,Photovoltaic,,2008,0.379,Wind
Photovoltaic,Photovoltaic,Commercial,2012,0.373,Wind
Photovoltaic,Photovoltaic,,2009,0.37,Wind
Photovoltaic,Photovoltaic,Residential,2010,0.369,Wind
Photovoltaic,Photovoltaic,Residential,2012,0.366,Wind
Photovoltaic,Photovoltaic,Commercial,2011,0.364,Wind
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2009,0.364,Wind
Photovoltaic,Photovoltaic,Commercial,2010,0.352,Wind
Combustion Turbine,Combustion Turbine,Advanced Combustion Turbine,2009,0.351,Wind
Photovoltaic,Photovoltaic,Residential,2011,0.35,Wind
Photovoltaic,Photovoltaic,Commercial,2010,0.347,Wind
Photovoltaic,Photovoltaic,,2012,0.346,Wind
Photovoltaic,Photovoltaic,Utility,2008,0.344,Wind
Photovoltaic,Photovoltaic,Commercial,2011,0.343,Wind
Photovoltaic,Photovoltaic,Utility,2011,0.342,Wind
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2013,0.339,Wind
Photovoltaic,Photovoltaic,Utility,2011,0.338,Wind
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2013,0.331,Wind
Photovoltaic,Photovoltaic,Commercial,2008,0.331,Wind
Photovoltaic,Photovoltaic,Commercial,2011,0.328,Wind
Photovoltaic,Photovoltaic,residential,2010,0.327,Wind
Photovoltaic,Photovoltaic,Residential,2013,0.324,Wind
Photovoltaic,Photovoltaic,Commercial,2011,0.323,Wind
Photovoltaic,Photovoltaic,,2010,0.322,Wind
Photovoltaic,Photovoltaic,Residential,2010,0.32,Wind
Photovoltaic,Photovoltaic,Commercial,2012,0.318,Wind
Photovoltaic,Photovoltaic,Commercial,2012,0.318,Wind
Photovoltaic,Photovoltaic,Commercial,2010,0.304,Wind
Photovoltaic,Photovoltaic,Commercial,2010,0.303,Wind
Photovoltaic,Photovoltaic,,2013,0.299,Wind
Photovoltaic,Photovoltaic,Commercial,2010,0.299,Wind
Photovoltaic,Photovoltaic,Residential,2008,0.298,Wind
Photovoltaic,Photovoltaic,Commercial,2011,0.293,Wind
Photovoltaic,Photovoltaic,,2009,0.286,Wind
Photovoltaic,Photovoltaic,,2009,0.285,Wind
Hydroelectric,Hydroelectric,,2010,0.284,Wind
Hydroelectric,Hydroelectric,Conventional,2010,0.284,wind
Photovoltaic,Photovoltaic,,2007,0.274,wind
Photovoltaic,Photovoltaic,Commercial,2013,0.273,Wind
Photovoltaic,Photovoltaic,Commercial,2012,0.267,Wind
Photovoltaic,Photovoltaic,Utility,2010,0.267,Wind
Photovoltaic,Photovoltaic,Utility,2008,0.265,Wind
Photovoltaic,Photovoltaic,Commercial,2010,0.264,Wind
Photovoltaic,Photovoltaic,Commercial,2011,0.259,Wind
Small Hydropower,Small Hydro,,2009,0.258,Wind
Photovoltaic,Photovoltaic,Utility,2011,0.251,Wind
Photovoltaic,Photovoltaic,Utility,2011,0.25,Wind
Solar Thermal,Solar Thermal,,2011,0.25,Wind
Photovoltaic,Photovoltaic,Residential,2011,0.249,Wind
Photovoltaic,Photovoltaic,Utility,2011,0.249,Wind
Photovoltaic,Photovoltaic,Commercial,2008,0.248,Wind
Photovoltaic,Photovoltaic,Residential,2014,0.247,Wind
Solar Thermal,Solar Thermal,Trough,2009,0.247,Wind
Ocean,Ocean,Marine Hydro-Kinetic,2011,0.245,Wind
Photovoltaic,Photovoltaic,Residential,2009,0.244,Wind
Photovoltaic,Photovoltaic,,2009,0.243,Wind
Photovoltaic,Photovoltaic,,2008,0.242,Wind
Solar Thermal,Solar Thermal,,2011,0.239,Wind
Photovoltaic,Photovoltaic,Utility,2010,0.239,Wind
Photovoltaic,Photovoltaic,,2009,0.237,Wind
Solar Thermal,Solar Thermal,Trough,2009,0.237,Wind
Photovoltaic,Photovoltaic,Commercial,2011,0.236,Wind
Photovoltaic,Photovoltaic,Residential,2012,0.235,Wind
Ocean,Ocean,Marine Hydro-Kinetic,2011,0.235,Wind
Photovoltaic,Photovoltaic,Commercial,2012,0.232,Wind
Photovoltaic,Photovoltaic,Commercial,2012,0.23,Wind
Solar Thermal,Solar Thermal,Trough,2010,0.228,Solar
Ocean,Ocean,Marine Hydro-Kinetic,2011,0.225,Solar
Photovoltaic,Photovoltaic,Utility,2009,0.225,Solar
Solar Thermal,Solar Thermal,,2009,0.223,Solar
Photovoltaic,Photovoltaic,Residential,2009,0.22,Solar
Fuel Cell,Fuel Cell,,2009,0.22,Solar
Distributed Generation,Distributed Generation,,2011,0.219,Solar
Solar Thermal,Solar Thermal,,2011,0.218,Solar
Solar Thermal,Solar Thermal,Tower,2014,0.217,Solar
Solar Thermal,Solar Thermal,,2008,0.217,Solar
Solar Thermal,Solar Thermal,,2008,0.217,Solar
Photovoltaic,Photovoltaic,Utility,2012,0.216,Solar
Solar Thermal,Solar Thermal,,2010,0.216,Solar
Photovoltaic,Photovoltaic,Utility,2013,0.215,Solar
Solar Thermal,Solar Thermal,Trough,2010,0.214,Solar
Solar Thermal,Solar Thermal,Tower,2013,0.213,Solar
Offshore,Wind-Offshore,,2009,0.213,Solar
Solar Thermal,Solar Thermal,Tower,2014,0.212,Solar
Solar Thermal,Solar Thermal,Trough,2009,0.212,Solar
Photovoltaic,Photovoltaic,,2009,0.211,Solar
Solar Thermal,Solar Thermal,,2010,0.21,Solar
Solar Thermal,Solar Thermal,Tower,2009,0.209,Solar
Solar Thermal,Solar Thermal,,2009,0.208,Solar
Solar Thermal,Solar Thermal,Trough,2010,0.203,Solar
Solar Thermal,Solar Thermal,Trough,2009,0.202,Solar
Photovoltaic,Photovoltaic,Commercial,2012,0.201,Solar
Photovoltaic,Photovoltaic,,2009,0.201,Solar
Offshore,Wind-Offshore,,2014,0.2,Solar
Photovoltaic,Photovoltaic,Utility,2008,0.199,Solar
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2014,0.197,Solar
Solar Thermal,Solar Thermal,,2011,0.197,Solar
Photovoltaic,Photovoltaic,Commercial,2013,0.193,Solar
Solar Thermal,Solar Thermal,Trough,2009,0.193,Solar
Solar Thermal,Solar Thermal,,2010,0.192,Solar
Photovoltaic,Photovoltaic,Residential,2009,0.19,Solar
Offshore,Wind-Offshore,Floating Platform,2014,0.188,Solar
Offshore,Wind-Offshore,Floating Platform,2013,0.188,Solar
Combustion Turbine,Combustion Turbine,Advanced Combustion Turbine,2013,0.188,Solar
Distributed Generation,Distributed Generation,,2011,0.187,Solar
Solar Thermal,Solar Thermal,,2010,0.187,Solar
Solar Thermal,Solar Thermal,,2009,0.186,Solar
Hydroelectric,Hydroelectric,Conventional,2009,0.186,Solar
Offshore,Wind-Offshore,,2010,0.184,Solar
Offshore,Wind-Offshore,,2008,0.184,Solar
Photovoltaic,Photovoltaic,Commercial,2012,0.183,Solar
Solar Thermal,Solar Thermal,,2008,0.183,Solar
Solar Thermal,Solar Thermal,,2010,0.181,Solar
Photovoltaic,Photovoltaic,Commercial,2012,0.179,Solar
Offshore,Wind-Offshore,,2009,0.179,Solar
Solar Thermal,Solar Thermal,Tower,2013,0.177,Solar
Solar Thermal,Solar Thermal,,2011,0.177,Solar
Offshore,Wind-Offshore,Fixed Platform,2011,0.174,Solar
Photovoltaic,Photovoltaic,,2009,0.174,Solar
Offshore,Wind-Offshore,Floating Platform,2014,0.17,Solar
Offshore,Wind-Offshore,Floating Platform,2013,0.17,Solar
Solar Thermal,Solar Thermal,,2009,0.169,Solar
Photovoltaic,Photovoltaic,Residential,2014,0.168,Solar
Solar Thermal,Solar Thermal,Trough,2009,0.168,Solar
Offshore,Wind-Offshore,,2011,0.167,Solar
Solar Thermal,Solar Thermal,,2011,0.166,Solar
Photovoltaic,Photovoltaic,Utility,2010,0.166,Solar
Offshore,Wind-Offshore,Fixed Platform,2014,0.165,Solar
Offshore,Wind-Offshore,Fixed Platform,2013,0.165,Solar
Solar Thermal,Solar Thermal,Tower,2013,0.165,Solar
Photovoltaic,Photovoltaic,Commercial,2014,0.164,Solar
Solar Thermal,Solar Thermal,Tower,2014,0.164,Solar
Solar Thermal,Solar Thermal,,2010,0.164,Solar
Biopower,Biopower,Stoker CHP,2012,0.163,Solar
Fuel Cell,Fuel Cell,,2014,0.162,Solar
Photovoltaic,Photovoltaic,Utility,2011,0.162,Solar
Solar Thermal,Solar Thermal,,2010,0.16,Solar
Biopower,Biopower,Biogas,2010,0.16,Solar
Photovoltaic,Photovoltaic,Utility,2009,0.16,Solar
Photovoltaic,Photovoltaic,Utility,2011,0.159,Solar
Biopower,Biopower,Gasifier CHP,2012,0.157,Solar
Offshore,Wind-Offshore,Fixed Platform,2010,0.157,Solar
Offshore,Wind-Offshore,,2009,0.157,Solar
Biopower,Biopower,Digester,2012,0.156,Solar
Distributed Generation,Distributed Generation,,2011,0.155,Solar
Photovoltaic,Photovoltaic,Utility,2010,0.155,Solar
Photovoltaic,Photovoltaic,Utility,2010,0.154,Solar
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2009,0.154,Solar
EGS,Geothermal,Enhanced Geothermal System,2013,0.153,Solar
EGS,Geothermal,Enhanced Geothermal System,2013,0.153,Solar
Combustion Turbine,Combustion Turbine,Advanced Combustion Turbine,2009,0.153,Solar
Solar Thermal,Solar Thermal,,2007,0.153,Solar
Photovoltaic,Photovoltaic,Utility,2011,0.151,Solar
EGS,Geothermal,Enhanced Geothermal System,2010,0.15,Solar
Solar Thermal,Solar Thermal,Trough,2009,0.149,Solar
Solar Thermal,Solar Thermal,,2010,0.148,Solar
Solar Thermal,Solar Thermal,,2010,0.148,Solar
Solar Thermal,Solar Thermal,,2008,0.148,Solar
Biopower,Biopower,,2013,0.147,Solar
Solar Thermal,Solar Thermal,Tower,2009,0.147,Solar
Solar Thermal,Solar Thermal,Tower,2013,0.146,Solar
Fuel Cell,Fuel Cell,,2009,0.146,Solar
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2009,0.146,Solar
Offshore,Wind-Offshore,,2008,0.146,Solar
Fuel Cell,Fuel Cell,,2011,0.144,Solar
Offshore,Wind-Offshore,,2010,0.144,Solar
Solar Thermal,Solar Thermal,,2009,0.144,Solar
Combustion Turbine,Combustion Turbine,Conventional Combustion Turbine,2014,0.143,Solar
Photovoltaic,Photovoltaic,Residential,2009,0.143,Solar
Photovoltaic,Photovoltaic,Utility,2013,0.142,Solar
Distributed Generation,Distributed Generation,,2011,0.142,Solar
Solar Thermal,Solar Thermal,Tower,2013,0.141,Solar
Hydrothermal,Geothermal,Flash,2013,0.141,Solar
Biopower,Biopower,Fluidized Bed,2012,0.141,Solar
Small Hydropower,Small Hydro,,2011,0.14,Solar
Solar Thermal,Solar Thermal,,2010,0.136,Solar
Solar Thermal,Solar Thermal,,2009,0.136,Solar
Offshore,Wind-Offshore,,2011,0.135,Solar
Solar Thermal,Solar Thermal,,2010,0.135,Solar
EGS,Geothermal,Enhanced Geothermal System,2014,0.132,Solar
Offshore,Wind-Offshore,,2009,0.132,Solar
EGS,Geothermal,Enhanced Geothermal System,2009,0.132,Solar
Nuclear,Nuclear,,2014,0.129,Solar
Offshore,Wind-Offshore,,2009,0.128,Solar
Offshore,Wind-Offshore,,2009,0.128,Solar
Offshore,Wind-Offshore,,2009,0.127,Solar
Solar Thermal,Solar Thermal,,2011,0.126,Solar
Solar Thermal,Solar Thermal,,2010,0.126,Solar
Distributed Generation,Distributed Generation,,2011,0.125,Solar
Offshore,Wind-Offshore,,2010,0.125,Solar
Offshore,Wind-Offshore,Fixed Platform,2010,0.124,Solar
Offshore,Wind-Offshore,,2008,0.124,Solar
Biopower,Biopower,Fluidized Bed,2009,0.123,Solar
Distributed Generation,Distributed Generation,Microturbine,2014,0.122,Solar
Offshore,Wind-Offshore,Fixed Platform,2010,0.122,Solar
Biopower,Biopower,,2009,0.121,Solar
Hydroelectric,Hydroelectric,,2009,0.12,Solar
Onshore,Land-Based Wind,,2010,0.119,Solar
Offshore,Wind-Offshore,,2011,0.118,Solar
Nuclear,Nuclear,,2009,0.118,Solar
Photovoltaic,Photovoltaic,Commercial,2014,0.117,Solar
Biopower,Biopower,Biogas,2012,0.117,Solar
Biopower,Biopower,,2013,0.116,Solar
Biopower,Biopower,Fluidized Bed,2012,0.116,Solar
Offshore,Wind-Offshore,,2009,0.116,Solar
Hydroelectric,Hydroelectric,,2009,0.116,Solar
Hydroelectric,Hydroelectric,,2009,0.116,Solar
Biopower,Biopower,Gasifier CHP,2012,0.115,Solar
Nuclear,Nuclear,,2009,0.115,Solar
Fuel Cell,Fuel Cell,,2010,0.114,Solar
Onshore,Land-Based Wind,,2009,0.114,Solar
Biopower,Biopower,Fluidized Bed,2009,0.114,Solar
Photovoltaic,Photovoltaic,Utility,2014,0.113,Solar
Fuel Cell,Fuel Cell,,2011,0.113,Solar
Offshore,Wind-Offshore,,2009,0.113,Solar
Biopower,Biopower,,2009,0.113,Solar
Biopower,Biopower,Stoker boiler,2012,0.112,Solar
Onshore,Land-Based Wind,,2009,0.111,Solar
Hydrothermal,Geothermal,Binary,2013,0.11,Solar
Biopower,Biopower,,2014,0.109,Solar
Biopower,Biopower,,2009,0.109,Solar
Biopower,Biopower,,2009,0.109,Solar
Onshore,Land-Based Wind,,2013,0.108,Solar
Distributed Generation,Distributed Generation,,2011,0.108,Solar
